"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @nftpadofficial: ⚡️ @soldexai is launching on NFTPad! 🚀

📅 #IDO Date: Dec 8th, 12:00 UTC on @NFTPadofficial 🚀

Read more 👉 https://t.co/…",FALSE,0,NA,2021-12-04 13:40:43,FALSE,NA,"1467126723976126468",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MasumAh74311288",12,TRUE,FALSE,NA,NA
"@SollySolana Excellent project! This project is special and the prospect is really good guys get on this… https://t.co/IG6o2IoY2Y",FALSE,0,"SollySolana",2021-12-04 13:40:43,TRUE,"1467108410655186947","1467126723040923656","1464848857502781444","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AringbangbaG",0,FALSE,FALSE,NA,NA
"RT @Solrazr_App: The @SynchronyFi (Synchrony) #IDO #whitelist is open on #SolRazr

Go to https://t.co/qPCukUOChg

Participate NOW and be pa…",FALSE,0,NA,2021-12-04 13:40:43,FALSE,NA,"1467126722499915780",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","takbuvae",17400,TRUE,FALSE,NA,NA
"RT @CryptoJeans: 🎁🎁NEW GIVEAWAY - 1 #SOL WORTH $200+🎁🎁

RULES TO ENTER:

✅FOLLOW @KongzDistrict &amp; myself 

✅JOIN TELEGRAM: 
https://t.co/jK…",FALSE,0,NA,2021-12-04 13:40:39,FALSE,NA,"1467126707815862273",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lheewin",984,TRUE,FALSE,NA,NA
"RT @JAY_NFTs: Who wants another chance to win a @thewerewolfnft ?
Stay Tuned 👀

Turn 🔔 on to avoid missing the new giveaway this weekend!…",FALSE,0,NA,2021-12-04 13:40:39,FALSE,NA,"1467126705919696900",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rein_ortiz",7,TRUE,FALSE,NA,NA
"RT @BackerGaming: *New Giveaway*
1 $SOL to one lucky person as an early Christmas present Wrapped present ! #Solana #NFTGiveaway #nft 

To…",FALSE,0,NA,2021-12-04 13:40:38,FALSE,NA,"1467126702232932353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeepakS13413562",63,TRUE,FALSE,NA,NA
"🚨COLLAB GIVEAWAY🚨

 Sol Enforcers  x Rare Animals

🏆
1 x Sol Enforcers NFT, 1 Rare Animals NFT
Your reward

✅Follow… https://t.co/n14hQZyVwR",FALSE,0,NA,2021-12-04 13:40:38,TRUE,NA,"1467126700714729481",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RareAnimals_io",0,FALSE,FALSE,NA,NA
"@SollySolana Great project 
@olufumiadeoke
@Ayodele23464242 
@SamOlawale4

#Solana #SOL #Sollysolana #SolanaAirdrop",FALSE,0,"SollySolana",2021-12-04 13:40:37,FALSE,"1467108410655186947","1467126699544489984","1464848857502781444","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","musty_knight",0,FALSE,FALSE,NA,NA
"RT @Coming_Nft: 💸0.5 Sol giveaway💸 
#Giveaway #Solana #NFTs #ETH 
worth $100+ to one lucky follower if:
1️⃣ Follow @Coming_Nft 
3️⃣ Retweet…",FALSE,0,NA,2021-12-04 13:40:37,FALSE,NA,"1467126699154640896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Coming_Nft",58,TRUE,FALSE,NA,NA
"@SollySolana @teslheem
@braztayor
@Rino30259565

Don't miss this project guys
#Solana #SOL #Sollysolana #SolanaAirdrop",FALSE,0,"SollySolana",2021-12-04 13:40:37,FALSE,"1467108410655186947","1467126698202202117","1464848857502781444","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SimeonOlaoluwa1",0,FALSE,FALSE,NA,NA
"RT @ChimpFightGame: We hope all of you apes are ready to game on #Solana in the #ChimpFight #Metaverse! Our #Oculus #giveaway is underway,…",FALSE,0,NA,2021-12-04 13:40:37,FALSE,NA,"1467126697623490561",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mustiuA",959,TRUE,FALSE,NA,NA
"RT @solcondoms: For the airdrop, mint the token $CONDOMS. 

Minting address.
EzL6LLmv4vgfF7irkjG7ZxM92bTJ9f6nFopDXJTow7zj

Join the discord…",FALSE,0,NA,2021-12-04 13:40:35,FALSE,NA,"1467126692074471429",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OlusegunEkemod1",10,TRUE,FALSE,NA,NA
"RT @Solrazr_App: The @SynchronyFi (Synchrony) #IDO #whitelist is open on #SolRazr

Go to https://t.co/qPCukUOChg

Participate NOW and be pa…",FALSE,0,NA,2021-12-04 13:40:35,FALSE,NA,"1467126688999956481",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GuneyDogru",17400,TRUE,FALSE,NA,NA
"RT @Solrazr_App: The @SynchronyFi (Synchrony) #IDO #whitelist is open on #SolRazr

Go to https://t.co/qPCukUOChg

Participate NOW and be pa…",FALSE,0,NA,2021-12-04 13:40:34,FALSE,NA,"1467126684445032451",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EmreAsl87540356",17400,TRUE,FALSE,NA,NA
"@solcondoms This is definitely going to be HUGE! 
 a good project to the moon
@Canon73828802
@EzeuduUgochukw2… https://t.co/Ry1UOpk8xu",FALSE,0,"solcondoms",2021-12-04 13:40:34,TRUE,"1462188669419364359","1467126684033949701","1461042307554234368","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","promosouthmovie",0,FALSE,FALSE,NA,NA
"guys check out this amazing project @obedaiye @Jhimmeey @_ollyjay 

 #Solana #SOL #Sollysolana #SolanaAirdrop https://t.co/0DVorqjDG8",FALSE,0,NA,2021-12-04 13:40:33,FALSE,NA,"1467126683811684359",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_omo_lola",0,FALSE,FALSE,NA,NA
"RT @xhashtagio: xTaggers, here’s your chance to #Earn up to 600% APR by simply staking your XTAG-USDC LP in our Fusion farming pool on @Ray…",FALSE,0,NA,2021-12-04 13:40:33,FALSE,NA,"1467126682930888704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bettye427",285,TRUE,FALSE,NA,NA
"RT @Reuren95: 🎉 #NFTGiveaway 🎉
7,777 Chipmunks heading to #solana

🐿️ Win 1/1 chipmunks NFT &amp; 50 Wh spot

Just
✅ like &amp; RT
✅ Follow @ClubCh…",FALSE,0,NA,2021-12-04 13:40:33,FALSE,NA,"1467126682863779842",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roald_ro",622,TRUE,FALSE,NA,NA
"RT @PowderHeroes: 🔥 #NFTGiveaway | 3 X @Powderheroes custom NFTs🔥
 
🎮The 1st 3D Gameclip #NFT collection featuring web3 gaming
 
3 limited…",FALSE,0,NA,2021-12-04 13:40:33,FALSE,NA,"1467126681349599251",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dashadyalpaca",10,TRUE,FALSE,NA,NA
"$SOLR $SOL @solrazr_app @SynchronyFi https://t.co/GroG57zUGi #SolRazr #SOLANA #SOL #whitelist #altcoin",FALSE,0,NA,2021-12-04 13:40:31,FALSE,NA,"1467126671786524677",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ehsanazizi7",0,FALSE,FALSE,NA,NA
"RT @Solrazr_App: The @SynchronyFi (Synchrony) #IDO #whitelist is open on #SolRazr

Go to https://t.co/qPCukUOChg

Participate NOW and be pa…",FALSE,0,NA,2021-12-04 13:40:30,FALSE,NA,"1467126670377299973",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Denellyx",17400,TRUE,FALSE,NA,NA
"RT @WatcherGuru: Top 10 #cryptocurrencies in the world by Twitter followers (Updated 12/03/21) 

1: #BNB 6.3M
2: #Bitcoin 3.9M
3: #Dogecoin…",FALSE,0,NA,2021-12-04 13:40:30,FALSE,NA,"1467126669542670342",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FaghihOmid",196,TRUE,FALSE,NA,NA
"RT @Coming_Nft: 🚨 #NFTGiveaway 🚨
Give away a Squirrelz #NFT~ 2 DAYS
(Worth $100 💸 ) #Solana #ETH

Just: 
✅RT and like
✅Follow @SquirrelzNFT…",FALSE,0,NA,2021-12-04 13:40:29,FALSE,NA,"1467126666522927112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Coming_Nft",85,TRUE,FALSE,NA,NA
"RT @Solrazr_App: The @SynchronyFi (Synchrony) #IDO #whitelist is open on #SolRazr

Go to https://t.co/qPCukUOChg

Participate NOW and be pa…",FALSE,0,NA,2021-12-04 13:40:28,FALSE,NA,"1467126659753070596",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Nikole79132477",17400,TRUE,FALSE,NA,NA
"RT @Solrazr_App: The @SynchronyFi (Synchrony) #IDO #whitelist is open on #SolRazr

Go to https://t.co/qPCukUOChg

Participate NOW and be pa…",FALSE,0,NA,2021-12-04 13:40:26,FALSE,NA,"1467126652673183744",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kujox",17400,TRUE,FALSE,NA,NA
"RT @timsamoylov: Small recap on what so far achieved with @fraktion_art - first #NFT fractionalization protocol on #Solana

1. 50 NFTs lock…",FALSE,0,NA,2021-12-04 13:40:23,FALSE,NA,"1467126639096123407",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","friponhero",7,TRUE,FALSE,NA,NA
"RT @Mahiramai: Winter-Hungry-Cat😺🧣

Follow Hungry Cats on Instagram:
https://t.co/XcUh89Irt3

Twitter:
https://t.co/2uBRB2dOkB

Discord:
ht…",FALSE,0,NA,2021-12-04 13:40:22,FALSE,NA,"1467126635019309060",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Frost71Frost",4,TRUE,FALSE,NA,NA
"RT @Reuren95: 🎉 #NFTGiveaway 🎉
7,777 Chipmunks heading to #solana

🐿️ Win 1/1 chipmunks NFT &amp; 50 Wh spot

Just
✅ like &amp; RT
✅ Follow @ClubCh…",FALSE,0,NA,2021-12-04 13:40:20,FALSE,NA,"1467126628484775941",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","capribigwin11",622,TRUE,FALSE,NA,NA
"RT @Solana_Caps: 🚨🧢🚨🧢🚨🧢🚨

We have an announcement!!

The minting will take place on December 18th!

Minting price will be discussed on Disc…",FALSE,0,NA,2021-12-04 13:40:20,FALSE,NA,"1467126627113046021",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kheiri_morteza",30,TRUE,FALSE,NA,NA
"RT @nftpadofficial: ⚡️ @soldexai is launching on NFTPad! 🚀

📅 #IDO Date: Dec 8th, 12:00 UTC on @NFTPadofficial 🚀

Read more 👉 https://t.co/…",FALSE,0,NA,2021-12-04 13:40:17,FALSE,NA,"1467126613129273348",NA,"<a href=""https://www.calcaware.com/"" rel=""nofollow"">Calcaware</a>","Calcaware",11,TRUE,FALSE,NA,NA
"RT @nftpadofficial: ⚡️ @soldexai is launching on NFTPad! 🚀

📅 #IDO Date: Dec 8th, 12:00 UTC on @NFTPadofficial 🚀

Read more 👉 https://t.co/…",FALSE,0,NA,2021-12-04 13:40:15,FALSE,NA,"1467126604916670466",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alntmz",11,TRUE,FALSE,NA,NA
"RT @Sedi2021: Samurai marketing is an art everyone will love😎 #mxs😎
😎YouTube :https://t.co/fByp96yxds
😎Twitter :@mxstoken
😎Link:https://t.c…",FALSE,0,NA,2021-12-04 13:40:14,FALSE,NA,"1467126601594904586",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EAriyae",6,TRUE,FALSE,NA,NA
"RT @edz_lozano: $50 |IDR | GCASH GIVEAWAY!

✅ Follow @cosmopuffsNFT + RT their 📌
✅ RT This 

Ends in 8 hrs

#Solana #NFTs #NFTGiveaway http…",FALSE,0,NA,2021-12-04 13:40:13,FALSE,NA,"1467126599460208641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ilacegem",1658,TRUE,FALSE,NA,NA
"RT @luckykittensnft: OUR BIGGEST #GIVEAWAY !!

🔥5 SOLs TO 5 LUCKY WINNERS 🔥

All you need is:
✅Like, follow, RT
▶️Join https://t.co/qbnu62Z…",FALSE,0,NA,2021-12-04 13:40:13,FALSE,NA,"1467126598365106178",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AgusRofii8",48,TRUE,FALSE,NA,NA
"Great project

@JaW_ @boadiboat @Nelly60680502

#Solana #SOL  #Sollysolana #SolanaAirdrop https://t.co/utqMvvTS1G",FALSE,0,NA,2021-12-04 13:40:13,FALSE,NA,"1467126598109302784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mhizprospect",0,FALSE,FALSE,NA,NA
"RT @CryptoKing1st: 🎉 #NFTGiveaway 🎉

🎁 Win 1x NFT from @SolKitties 

To Win: 
1⃣ RT &amp; Follow @SolKitties
2⃣ Join Discord:
https://t.co/e4qV…",FALSE,0,NA,2021-12-04 13:40:13,FALSE,NA,"1467126597396406277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","C_Crypto_Lover",3333,TRUE,FALSE,NA,NA
"RT @SollySolana: SSO Airdrops 

Step 1. Follow us on Twitter:- https://t.co/1igHx2HS9m 

Step 2. Form:- https://t.co/UH2F5PlSam

Step 3. Li…",FALSE,0,NA,2021-12-04 13:40:12,FALSE,NA,"1467126595416518656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ardiansyhrl",657,TRUE,FALSE,NA,NA
"Melody Of DOGE @opensea

#NFT #NFTs #NFTCommunity #nftart #nftcollector #nftcollectors #NFTartists #nftopensea… https://t.co/PkOUD3vqxm",FALSE,1,NA,2021-12-04 13:40:12,TRUE,NA,"1467126594720436228",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MelodyOfCrypto",0,FALSE,FALSE,NA,NA
